Target Count Total:
+-----------+-----------+------------+
| combo.pkl | gofai.pkl | greedy.pkl |
+-----------+-----------+------------+
|    143838 |    190941 |     231127 |
+-----------+-----------+------------+


Target Count By Length Of Block Resolution:
+--------+-----------+-----------+------------+
| Length | combo.pkl | gofai.pkl | greedy.pkl |
+--------+-----------+-----------+------------+
|      1 |        81 |        81 |         81 |
|      2 |      1854 |      1552 |       1774 |
|      3 |     14784 |     14496 |      13840 |
|      4 |     38300 |     38479 |      36360 |
|      5 |     28300 |     28479 |      29060 |
|      6 |     18319 |     18479 |      19079 |
|      7 |      9440 |      8511 |      10124 |
|      8 |      8940 |      1489 |       8940 |
|      9 |      8440 |      8511 |       8440 |
|     10 |      7940 |      1489 |       7940 |
|     11 |      7440 |      8511 |       7440 |
|     12 |           |      1489 |       6940 |
|     13 |           |      8511 |       6440 |
|     14 |           |      1489 |       5940 |
|     15 |           |      8511 |       5440 |
|     16 |           |      1489 |       4940 |
|     17 |           |      8511 |       4440 |
|     18 |           |      1489 |       3940 |
|     19 |           |      8511 |       3440 |
|     20 |           |      1489 |       2944 |
|     21 |           |      8511 |       2512 |
|     22 |           |      1486 |       2300 |
|     23 |           |      8438 |       1806 |
|     24 |           |       499 |       1419 |
|     25 |           |       441 |       1499 |
|     26 |           |           |       1485 |
|     27 |           |           |       1431 |
|     28 |           |           |       1355 |
|     29 |           |           |       1389 |
|     30 |           |           |       1289 |
|     31 |           |           |       1275 |
|     32 |           |           |       1227 |
|     33 |           |           |       1197 |
|     34 |           |           |       1167 |
|     35 |           |           |       1137 |
|     36 |           |           |       1107 |
|     37 |           |           |       1077 |
|     38 |           |           |       1047 |
|     39 |           |           |       1017 |
|     40 |           |           |        987 |
|     41 |           |           |        957 |
|     42 |           |           |        927 |
|     43 |           |           |        897 |
|     44 |           |           |        867 |
|     45 |           |           |        837 |
|     46 |           |           |        807 |
|     47 |           |           |        777 |
|     48 |           |           |        747 |
|     49 |           |           |        717 |
|     50 |           |           |        687 |
|     51 |           |           |        657 |
